FID;osm_id;amenity;name;short_name;official_name;alt_name;old_name;operator;operator-type;emergency;contact-email;addr-housename;addr-housenumber;addr-street;addr-city;addr-postcode;osm_version;osm_timestamp;healthcare-speciality;the_geom;osm_original_geom
hospitals_point.38072526;38072526;hospital;Hôpital Bichat-Claude Bernard;;;Hopital Xavier Bichat;;Assistance publique - Hôpitaux de Paris;public;yes;;;46;Rue Henri Huchard;Paris;;18;2023-10-13T14:15:47Z;intensive;POINT (259592.22219624888 6257717.90984779);"SRID=3857;POLYGON((259309.3250420606 6257581.01155409,259310.68313984826 6257579.809291655,259310.23786188508 6257579.301293496,259317.25098980503 6257573.28998425,259318.38644861116 6257572.324788516,259319.33266428288 6257571.020927786,259319.5441713154 6257570.665329441,259328.79482100037 6257554.883551226,259330.00820345 6257552.817698318,259329.87462006102 6257552.597566477,259330.35329387145 6257551.192109494,259332.11214182593 6257542.708572905,259332.5796836873 6257540.422591441,259345.97141842972 6257541.336983952,259542.606166967 6257547.568402207,259738.9737487263 6257553.901424372,259748.1576067168 6257559.692587824,259751.87567770926 6257562.029374199,259755.96110302137 6257570.174265084,259782.56646132097 6257623.277113796,259797.0936548695 6257652.2162746,259810.90840367693 6257679.800856434,259812.24423756642 6257682.476345518,259830.845724478 6257724.251338593,259830.89025227432 6257730.87236372,259819.6581156533 6257746.400465988,259779.05989736097 6257745.028844032,259778.70367499042 6257810.223466839,259773.15996434892 6257946.287108979,259517.85984416367 6257938.141856156,259519.19567805316 6257902.224940837,259521.73376244327 6257834.489541696,259523.45921455053 6257788.02337136,259519.1622822059 6257788.091106118,259519.61869211818 6257783.586745993,259492.8908823787 6257781.859510788,259491.92240280882 6257780.216944305,259484.30814963853 6257779.810536154,259484.18569819868 6257778.760648514,259482.20421126252 6257778.6590464935,259475.0129721573 6257778.235704743,259475.04636800455 6257772.004116668,259475.79220859284 6257748.500233367,259475.9035280837 6257744.0974959135,259476.11503511615 6257735.5290980525,259358.48372919488 6257732.227049808,259352.183046016 6257703.948022733,259337.04359526813 6257706.606585924,259323.02847137724 6257643.10610096,259321.24735952454 6257635.011940043,259317.65173997197 6257618.992974935,259316.57194091124 6257614.048437916,259309.3250420606 6257581.01155409))"
hospitals_point.564131781;564131781;hospital;Clinique de l'Anjou;;;;;;private;yes;;;9;Rue de l'Hirondelle;Angers;49000;6;2021-07-16T20:52:17Z;;POINT (-60046.99655303051 6015015.176709588);"SRID=3857;POLYGON((-60220.916816553145 6015029.847043046,-60202.09269065999 6014989.7995598,-60149.07121719515 6014877.970453781,-60145.78729221676 6014871.863842687,-60141.31224868687 6014866.92588538,-60135.044961355205 6014863.650375255,-60129.81294528793 6014862.893222336,-60125.33790175802 6014863.354098017,-60121.007573566174 6014864.242929758,-59921.27814318489 6014959.364913215,-59882.88405081028 6014977.93184551,-59915.82348813601 6015048.940852836,-59925.43036019147 6015069.055239378,-59909.155450637496 6015073.861629988,-59884.0640374127 6015082.00945578,-59906.82887327992 6015153.6941929525,-59956.421706428315 6015139.159673591,-59971.18267090751 6015134.69891433,-60050.09705793086 6015110.864342911,-60077.1142983464 6015152.525504765,-60130.2582232511 6015125.349433743,-60109.88675643592 6015092.511109219,-60220.916816553145 6015029.847043046))"
hospitals_point.3354784650;3354784650;hospital;Médecin;;;;;;;;;;;D47;Monteils;12200;3;2024-04-24T13:01:35Z;;POINT (222160.50815121952 5506781.3704510415);
hospitals_point.558054995;558054995;hospital;Pôle de Santé La Francilienne;;;;;;;;;;22;Avenue de la République;Pontault-Combault;77340;5;2021-01-13T06:13:14Z;;POINT (291092.269956796 6241937.059687473);"SRID=3857;POLYGON((291044.1741579162 6241949.862917889,291079.66281158116 6241899.2076119,291080.78713843814 6241898.463925981,291083.158243592 6241898.210396703,291084.96161934285 6241898.616043547,291102.7059461753 6241913.219342927,291142.75869896275 6241946.127564667,291139.5415656788 6241950.065742543,291138.9404404285 6241950.792530937,291137.9608289096 6241951.992577024,291126.40586576523 6241966.122709921,291122.5096835875 6241970.8721976755,291086.31971713057 6241942.087976383,291069.5883976643 6241964.702934735,291066.56050751475 6241962.370447452,291064.36751354614 6241965.480430639,291044.1741579162 6241949.862917889))"
hospitals_point.158252094;158252094;hospital;Clinique Ambroise Paré;;;;;;;no;;;21;Route de Guentrange;Thionville;57100;7;2024-10-03T02:16:15Z;;POINT (685089.0770805612 6336340.275965203);"SRID=3857;POLYGON((685005.5775274187 6336317.291057285,685036.9807557715 6336311.069540022,685046.6655514705 6336309.155227945,685039.5633679578 6336274.202017113,685060.4580363798 6336269.621362598,685063.7308294091 6336269.09151093,685081.7534549684 6336266.032045509,685074.3284449327 6336230.344061838,685128.8304676249 6336225.797615034,685138.1145131573 6336225.028479538,685163.6178084979 6336406.546408046,685111.6093423993 6336420.476618189,685033.8749419784 6336446.662057299,685023.2661945057 6336400.461562758,685005.5775274187 6336317.291057285))"
hospitals_point.710466776;710466776;hospital;Centre Hospitalier Jean de Luxembourg;;;;;;;;;;29;Rue Henri Barbusse;Haubourdin;59481;10;2024-12-21T21:53:14Z;;POINT (332462.4497430499 6553054.415323581);
hospitals_point.687870363;687870363;hospital;Hôpital Nord-Ouest Grandris Haute Azergues;;;;;;;;;;;Rue de l'Hôpital;Grandris;69870;3;2024-03-14T19:44:24Z;;POINT (498453.2905666328 5787240.566881024);"SRID=3857;POLYGON((498334.1905829561 5787124.740823644,498360.8404690521 5787088.20787303,498402.785653183 5787136.15940627,498431.38363036775 5787102.04803809,498473.6293771238 5787127.659617242,498483.2028533321 5787135.806584678,498485.58509043505 5787133.400983278,498507.9269122372 5787153.239195674,498523.85673136974 5787167.785108007,498530.5359008173 5787173.87932314,498543.04821158247 5787184.4640225405,498549.61606153933 5787195.0647720415,498550.3619021276 5787249.11115047,498547.0779771492 5787313.742712423,498533.1964366473 5787320.4624974085,498525.58218347706 5787327.775682089,498522.7435364618 5787334.495477719,498515.4298459167 5787384.068160957,498510.3536771366 5787396.898405618,498503.93054251774 5787404.516372178,498495.1251707959 5787410.4824474035,498485.4181111988 5787414.219265383,498473.7740924618 5787414.812665808,498464.22288015176 5787412.583404959,498453.9258272534 5787407.499409287,498446.01101145794 5787400.041818393,498440.0442867515 5787391.381398136,498409.43142678327 5787290.760765534,498405.10109859146 5787284.778733308,498398.3885332966 5787282.549505173,498379.2749767274 5787260.594043663,498384.0505828824 5787245.3744021235,498341.0589955381 5787189.836564198,498334.1905829561 5787124.740823644))"
hospitals_point.510578303;510578303;hospital;Centre hospitalier de la Milétrie;;;;;;public;yes;;;2;Rue de la Milétrie;Poitiers;86021;20;2025-03-01T21:44:48Z;intensive;POINT (42879.93274559169 5870107.6019113995);"SRID=3857;POLYGON((42212.36204075842 5870241.154491833,42280.75673590181 5870193.574760356,42288.84966288248 5870187.940974581,42420.4404329492 5870102.447099933,42372.717767246126 5869986.357431148,42401.49385561619 5869960.827946836,42380.73277058324 5869935.185216737,42550.69536912641 5869787.401016995,42647.42087467669 5869902.273918407,42668.01498047345 5869877.699797695,42674.56056653208 5869879.658601898,42694.319776147895 5869845.614323271,42696.323526982174 5869842.214759183,42698.21595832566 5869841.85861445,42711.45184578098 5869839.268471373,42710.89524832701 5869821.76883721,42709.659601979205 5869782.5930943135,42734.82893884757 5869729.139531903,42748.25406943724 5869705.002975389,42782.28443777274 5869657.248079102,42818.73043905846 5869609.153495073,42858.694136253245 5869564.733823691,43029.45823513013 5869396.203359455,43061.06183856633 5869345.487832037,43095.426165374214 5869288.945139451,43129.35634616801 5869234.507156596,43159.06751826074 5869189.846571524,43218.690237529605 5869097.013497521,43245.06182489854 5869127.979329303,43298.873666748004 5869081.554903054,43378.18880393821 5869176.475958463,43321.89453744405 5869217.656216891,43241.544128989466 5869285.8209760925,43221.41756505404 5869307.269270225,43276.53184494579 5869411.2901927065,43384.21118839013 5869614.560277987,43353.84323130172 5869624.434949981,43370.15153670294 5869677.143222991,43367.7470357018 5869693.638905345,43382.81969475521 5869692.214350592,43390.177913096646 5869692.6999942325,43398.014805248495 5869694.4968759315,43405.239440200974 5869697.734501546,43418.62004299433 5869707.641643328,43429.54048504115 5869719.831328207,43438.546231846325 5869731.632513347,43447.09556873925 5869745.651500108,43454.44265513161 5869761.127451429,43459.273921032036 5869772.394479165,43463.71556871468 5869778.821224157,43469.8492726574 5869784.066228595,43427.98201217005 5869839.203717805,43378.812193086655 5869809.611387558,43362.592943278076 5869832.177958603,43409.54750449467 5869868.779959292,43299.28554886394 5870090.613038931,43305.051898487036 5870095.032597467,43307.623378724355 5870098.72365905,43309.47128227152 5870103.742210177,43309.8609004893 5870109.262619731,43308.49167075255 5870115.074432948,43306.34320458023 5870118.992147651,43302.81437672209 5870122.764163869,43335.72041820058 5870170.246377799,43346.86349922899 5870189.640823354,43352.99720317169 5870201.426450587,43356.13641281207 5870201.57215212,43359.05298347084 5870202.737764484,43361.41295667567 5870204.826153689,43362.94916564861 5870207.562106188,43376.20731700209 5870238.807067939,43386.72700888206 5870280.672253078,43392.59354604686 5870301.718245178,43354.67812748267 5870343.648487432,43040.96867047815 5870627.484255123,43038.53077362978 5870629.6860742485,42938.58813479558 5870720.042083651,42822.6934129307 5870823.998785589,42756.81453827924 5870876.406640952,42721.03645393828 5870829.811071709,42685.77043925497 5870777.921578229,42642.823379706926 5870716.836461252,42634.02913993426 5870715.20127048,42621.917579335946 5870713.258469955,42606.13247554146 5870715.023180414,42589.345496329835 5870717.726911803,42575.942629638324 5870722.389636153,42554.53589155878 5870734.12740806,42539.8751146213 5870745.784245336,42504.39759290549 5870796.718329693,42425.249434951475 5870944.875700368,42421.80966268596 5870975.961379971,42421.052690148565 5871005.055732896,42363.58956900108 5870950.590923831,42323.893038584196 5870912.96442183,42385.085362673264 5870899.607376189,42454.6377805209 5870738.871091365,42299.11331993362 5870589.9238962345,42362.50976994039 5870524.808861511,42273.84379552354 5870400.23034782,42288.960982373275 5870387.100733437,42212.36204075842 5870241.154491833))"
hospitals_point.111978579;111978579;hospital;Clinique du Pont de Chaume;;;;;Elsan;private;yes;;;330;Avenue Marcel Unal;Montauban;82000;12;2023-08-16T13:41:58Z;;POINT (153467.75638574953 5466359.107351157);"SRID=3857;POLYGON((153114.29342406642 5466196.105677714,153197.2264447074 5466141.75236671,153237.60202401812 5466191.060339738,153260.89006149207 5466241.52932084,153493.41421386108 5466126.337875804,153537.31862102993 5466225.371787957,153577.81665178054 5466236.793489289,153607.9953657346 5466309.3788881125,153692.98779695528 5466493.6307559945,153705.81180229466 5466514.09137633,153698.85433412006 5466518.59519525,153694.50174203006 5466524.522905307,153694.66872126624 5466527.78856444,153696.50549286432 5466535.43423539,153702.85070383953 5466561.900068625,153701.81543257515 5466566.388433873,153699.12150089798 5466569.375519548,153619.5725927771 5466588.907678851,153465.9294315842 5466629.380550087,153453.10542624482 5466555.229433291,153490.5533029477 5466536.130703709,153382.1949106095 5466309.224121193,153285.29129387398 5466357.5270033665,153239.9842611211 5466263.506087452,153187.3635378231 5466287.649638173,153177.8457213603 5466291.658092806,153114.29342406642 5466196.105677714))"
hospitals_point.12707677332;12707677332;hospital;Centre de santé des Épinettes;;;;;Mairie d'Issy/Hôpital suisse;local_authority;no;;;44;Rue d'Erevan;Issy-les-Moulineaux;92130;1;2025-03-28T14:09:06Z;;POINT (251553.25084053006 6244135.546558651);
