Nom_du_POI;LAT;LONG;Adresse_postale;Code_postal;Commune
Boutique Les Copains d'Thiérache : Location de vélo;49,89865220;3,62489919;24 rue Camille Desmoulins;2120;Guise
Itinéraire découverte autour de Haudonville;48,49989812;6,50120082;Rue du Haut Chemin;54830;Haudonville
Balade autour de Borville;48,44780391;6,39288249;Rue des frères Bayard;54290;Borville
Itinéraire découverte autour de Gerbéviller;48,59212183;6,84171438;13 Rue de l'Adjudant Chèvre;54830;Gerbéviller
Autour de la chapelle de Klausenberg;48,97246688;6,72365782;Chapelle Saint-Blaise Colline de Bertring;57660;Grostenquin
Circuit de la Blette;48,51583000;6,80231700;Rue de la Mairie Départ du parking de l'église;54540;Montigny
Circuit La frontière des langues;49,01969380;6,54311092;Parking de l'église;57380;Mainvillers
Circuit La voie romaine;49,01978526;6,54296071;Parking de l'église;57380;Mainvillers
Circuit vélo boucle de mondon;48,57323900;6,52918700;Forêt de Mondon;54300;Moncel-lès-Lunéville
Circuit Vittoncourt - Arriance;49,02314834;6,43154956;Rue de la Croix de Haut;57580;Vittoncourt
Circuit allée Saint-Pierre;48,98880280;6,55475946;Rue de la Tour Église;57380;Thicourt
Boucle de la poterie gallo-romaine;48,98882392;6,55466290;Rue de la Tour Église;57380;Thicourt
Activital Base Sport et Nature de Baye;47,17810050;3,61934995;Base de loisirs de BAYE;58110;Bazolles
Activital Base Sport et Nature de Baye;47,17810050;3,61934995;Base de loisirs de BAYE;58110;Bazolles
Location de vélos à la Base de loisirs Activital de Baye;47,17673280;3,62046716;Base de loisirs de BAYE;58110;Bazolles
Location de vélos à la Base de loisirs Activital de Baye;47,17673280;3,62046716;Base de loisirs de BAYE;58110;Bazolles
Itinéraire découverte autour de Seranville;48,45705380;6,51576540;4 B  Grande Rue;54830;Seranville
Balade autour de Saint-Rémy-aux-Bois;48,41527840;6,39287176;Rue Bouillon;54290;Saint-Rémy-aux-Bois
Circuit des roches d'Achiffet;48,54340435;6,97253129;Maison de la Forêt lieu-dit Norroy;54480;Saint-Sauveur
Itinéraire découverte autour de Xermamenil;48,53304730;6,46173510;51 Rue des généraux Mangin Départ de la mairie du village;54300;Xermaménil
Circuit entre champés et charbonnière;48,49824074;6,89336352;16 rue du Maréchal Foch Départ de la maison de Charles Messier;54540;Badonviller
Circuit du terrain de manoeuvre;48,44907226;6,73773941;2 rue Adrien Michaut Départ de l'hôtel de ville;54120;Baccarat
Circuit du moulin à vent;48,44905091;6,73773941;2 rue Adrien Michaut Départ de l'hôtel de ville;54120;Baccarat
Circuit de la moncelle;48,44930710;6,73751410;2 rue Adrien Michaut Départ de l'hôtel de ville;54120;Baccarat
Circuit de l'abbaye;48,54332457;6,97252830;Maison de la Forêt Lieu-dit « Norroy »;54480;Saint-Sauveur
Circuit de l'étang du val et Mémoires du Textile;48,54335298;6,97252830;Maison de la Forêt Lieu-dit « Norroy »;54480;Saint-Sauveur
Circuit de la source de la Vezouze;48,54329615;6,97252830;Maison de la Forêt Lieu-dit « Norroy »;54480;Saint-Sauveur
Itinéraire découverte autour de Remenoville;48,48980600;6,51721600;Route de Séranville;54830;Remenoville
Circuit de la roche du diable;48,54335298;6,97252830;"Maison de la Forêt Lieu-dit ""Norroy""";54480;Saint-Sauveur
Itinéraire découverte autour de Essey;48,42522980;6,46810388;10 rue du général leclerc;54830;Essey-la-Côte
Randonnée pédestre à Lelling;49,03950170;6,70749070;Foyer Socio-Educatif;57660;Lelling
Val de Meurthe - circuit vtt;48,55565670;6,44082540;Zone de Loisirs;54360;Damelevières
Sentier de découverte du Beerenweg;49,39974370;6,10240230;Accès par Oeutrange;57100;Thionville
Itinéraire découverte autour de Lamath;48,52915100;6,44722200;2 rue principale Départ de parking près de l'église;54300;Lamath
Véloroute et voie verte à La Bresse;48,00208382;6,87276363;2A Rue des Proyes;88250;La Bresse
Balade Randoland au centre ville à La Bresse;48,00211056;6,87334966;2A Rue des Proyes;88250;La Bresse
Circuit poussette promenade de la moselotte à La Bresse;48,00258739;6,87348409;2A Rue des Proyes;88250;La Bresse
Circuit Walving;49,04658897;6,50272161;D 74;57690;Hémilly
Véloroute - voie verte du sânon;48,65506100;6,48818500;7 place de la Fontaine;54370;Einville-au-Jard
Villages de Meurthe-et-Moselle - les portes monumentales du Lunévillois;48,54732489;6,72607899;Rue du château Départ de la porte à chambranle - année 1692;54450;Ogéviller
Circuit Faux en forêt;49,00991516;6,47748666;D 74;57580;Herny
Balade famille au lac de Blanchemer à La Bresse;48,02493800;6,95952898;Route de Vologne Parking de Blanchemer;88250;La Bresse
Val de Meurthe - la Charmoise;48,55565670;6,44082540;23 Rue de la Mairie;54360;Charmois
Circuit du golf de Faulquemont-Pontpierre;49,05620846;6,62674284;Avenue Jean Monnet Golf de Faulquemont Pontpierre;57380;Faulquemont
Circuit de Herny;48,99959734;6,48175674;Rue de l'Étang;57580;Herny
Voie verte de Blâmont;48,59210506;6,84403360;rue de la Gare;54450;Blâmont
Val de Meurthe - le fouxon;48,55565670;6,44082540;Place de l'église;54300;Rehainviller
Balade autour de Lorey et  Domptail-en-l'Air;48,49825587;6,30395117;Rue de l'église;54290;Lorey
Balade autour de Saint-Boingt;48,44780391;6,39288249;Grande rue;54290;Saint-Boingt
Circuit pédestre - boucle des entonnoirs;48,59863000;6,74347200;Place de la Mairie;54450;Reillon
Circuit de la Brême;48,51612391;6,94524655;Grande rue Départ du parking;54540;Angomont
Circuit pédestre - sentier des rappes;48,59931302;6,57361708;Rue du Château Départ de l'église Saint-Léger de Croismare;54300;Croismare
Sentier d’interprétation;48,59863000;6,74347200;13 Grande rue Départ devant la mairie - centre du village;54450;Reillon
Circuit pédestre - circulaire de Blâmont;48,59515300;6,83704300;D21 Clos Saint-Pierre;54450;Blâmont
Balade autour de Froville, Brémoncourt et Haigneville;48,47305556;6,35666667;église de Méhoncourt;54290;Froville
Promenade 1 Flin de l'église au sentier des Italiens;48,49763150;6,65423040;Place de l'église Départ de l'église Saint-Martin;54122;Flin
Promenade 2 Flin de l'église à Mervaville;48,49763150;6,65423040;Place de l'église Départ de l'église Saint-Martin;54122;Flin
Itinéraire découverte autour de Giriviller;48,44369520;6,49026137;Rue des trois fontaines;54830;Giriviller
Balade autour de Loromontzey;48,43521334;6,37673559;Rue de l'église;54290;Loromontzey
Circuit de la croix collin;48,54339725;6,97254202;Maison de la Forêt Lieu-dit Norroy;54480;Saint-Sauveur
Val de Meurthe - les Hauts de Vigneulles;48,56137059;6,32989385;place de la Fontaine les Hauts de Vigneulles;54360;Vigneulles
Itinéraire découverte autour de Moyen;48,48402342;6,56668127;Centre du village rue du Presbytère;54118;Moyen
Circuit pédestre sentier des folies;48,60752163;6,47644945;Chemin de Friscati;54300;Lunéville
Itinéraire découverte autour d'Emberménil;48,62713890;6,69246530;Grande rue Départ sur le parking de l'église;54370;Emberménil
Balade autour de Clayeures;48,47278366;6,40122953;Grande rue;54290;Clayeures
