etablissement_id_paysage;uo_lib;nom_court;sigle;type_d_etablissement;typologie_d_universites_et_assimiles;secteur_d_etablissement;localisation;LAT;LONG;uai;anciens_codes_uai;identifiant_wikidata;date_creation;texte_de_ref_creation_lib;texte_de_ref_creation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;reg_id_old;reg_nom_old;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;inscrits_2010;inscrits_2011;inscrits_2012;inscrits_2013;inscrits_2014;inscrits_2015;inscrits_2016;inscrits_2017;inscrits_2018;inscrits_2019;inscrits_2020;inscrits_2021;inscrits_2022
1tI7C;Centrale Méditerranée;;;École;;public;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille-Aix-en-Provence>Marseille 13e;43.34136;5.43829;0133774G;"0132396J;0133401B;0130219T";Q273454;02/10/2003;Décret n° 2003-929 du 29 septembre 2003 portant création de l'Ecole généraliste d'ingénieurs de Marseille;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000794748/;13213;Marseille 13e;UU00759;Marseille-Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;Pôle de l'Étoile - Technopôle de Château-Gombert;38 rue Frédéric-Joliot-Curie;;;13451;Marseille CEDEX 13;France;658;701;796;875;919;996;1049;1101;1111.0;1127.0;1155.0;1165.0;1105.0
BOl78;École française de Rome;EFR;;Autre établissement;;public;Étranger>Rome;41.89488;12.47096;1270009V;;Q273542;1875;;;;Rome;;Rome;D999;Étranger;A00;Étranger;R99;Étranger;R99;Étranger;;Piazza Farnese 67;;;186;Roma;Italie;;;;;;;;;;;;;
IlIW8;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;;ISAE-ENSMA;École;;public;Nouvelle-Aquitaine>Poitiers>Vienne>Poitiers>Chasseneuil-du-Poitou;46.661;0.362013;0860073M;;Q391044;03/04/1948;;;86062;Chasseneuil-du-Poitou;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Nouvelle-Aquitaine;R54;Poitou-Charentes;Téléport 2;1 avenue Clément Ader;;BP 40109;86961;Futuroscope Chasseneuil CEDEX;France;631;629;661;673;689;712;723;716;722.0;771.0;728.0;718.0;768.0
kWved;École normale supérieure de Lyon;ENS de Lyon;ENS Lyon;École;;public;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 7e;45.7337;4.83376;0694123G;"0693259T;0693817Z;0920812H";Q10159;01/01/2010;;;69387;Lyon 7e;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;15 parvis René Descartes;;BP 7000;69342;Lyon CEDEX 07;France;1528;1612;1790;1820;2053;1928;1954;1911;1963.0;2102.0;2169.0;2346.0;2297.0
3Ur31;École supérieure des techniques aéronautiques et de construction automobile;ESTACA;;École;;privé;Île-de-France>Versailles>Yvelines>Paris>Montigny-le-Bretonneux;48.787656;2.041412;"0783664J;0921929X";;Q3578506;1925;;;78423;Montigny-le-Bretonneux;UU00851;Paris;D078;Yvelines;A25;Versailles;R11;Île-de-France;R11;Île-de-France;;12 avenue Paul Delouvrier;;CS 20749;78066;Montigny-le-Bretonneux;France;;;;;;;;;;;;;
khs4b;École supérieure d'ingénieurs des travaux de la construction de Paris;ESITC Paris;ESITC Paris;École;;privé;Île-de-France>Créteil>Val-de-Marne>Paris>Arcueil;48.80497;2.3256;0941954N;;Q3578412;1992;;;94003;Arcueil;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;79 avenue Aristide Briand;;CS 80433;94234;Arcueil CEDEX;France;;;;;;;;;;;;;
XHkD5;Institut supérieur du bâtiment et des travaux publics;ISBA TP;;École;;privé;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille-Aix-en-Provence>Marseille 9e;43.247519881264544;5.437304377555848;0130238N;;Q60846049;1952;;;13209;Marseille 9e;UU00759;Marseille-Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;11 avenue de Luminy;;;13009;Marseille;France;;;;;;;;;;;;;
n1W55;Université de Perpignan Via Domitia;;UPVD;Université;Université pluridisciplinaire hors santé;public;Occitanie>Montpellier>Pyrénées-Orientales>Perpignan;42.6844;2.89854;0660437S;;Q304872;01/10/1979;Décret n° 79-149 du 22 février 1979 portant transformation en université du centre universitaire de Perpignan;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000702313;66136;Perpignan;UU66701;Perpignan;D066;Pyrénées-Orientales;A11;Montpellier;R76;Occitanie;R91;Languedoc-Roussillon;;52 avenue Paul Alduy;;;66860;Perpignan CEDEX 9;France;9842;8781;8583;8636;8672;8598;8739;8849;8837.0;8768.0;8691.0;8569.0;8038.0
HgdTq;École nationale des sciences géographiques;ENSG-Géomatique;;École;;public;Île-de-France>Créteil>Seine-et-Marne>Paris>Champs-sur-Marne;48.84105;2.58736;0772496V;;Q3578152;01/01/1941;;;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;Cité Descartes;6 et 8 avenue Blaise Pascal;;;77455;Marne la Vallée CEDEX 2;France;;;;;;;;;;;;;
QeAil;Ecole Nationale Supérieure des Beaux-Arts de Paris;Beaux-Arts de Paris;ENSBA;École;;public;Île-de-France>Paris>Paris 6e;48.856491;2.334499;0753667D;;Q273593;1794;;;75106;Paris 6e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;14 rue Bonaparte;;;75006;Paris;France;;;;;;;;;;;;;
JpuNC;École nationale supérieure maritime;;ENSM;Grand établissement;;public;Normandie>Seine-Maritime>Le Havre;49.48841;0.12238;"0922706S;0760166T";"0350092K;0130234J";Q3578264;01/10/2010;Décret n° 2010-1129 du 28 septembre 2010 portant création de l'Ecole nationale supérieure maritime;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000022862578/;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;10 quai Frissard;;;76600;Le Havre;France;;;;;;;;;;;;;
